method;subMethod;minimumFrequency;beamWidth;beamDepth;firstGroupSize;firstGroupDescriptors;firstGroupScore;qualityScore;executionTime;
RankingWise;kBests;10;2;3;12;{2=194};0.17136466331544153;0.16568742441337855;4.2652043;
RankingWise;kFirsts;10;2;4;17;{0=1, 1=5};0.06705294223235553;0.06366965745390654;0.3230173;
RankingWise;kRandoms;10;2;4;1314;{8=0, 9=1};0.011060180317501608;0.01071372213577181;0.194655;
RankingWise;kBests;10;2;4;12;{2=194};0.17136466331544153;0.16568742441337855;4.711517;
RankingWise;kFirsts;10;2;5;17;{0=1, 1=5};0.06705294223235553;0.06366965745390654;0.3612177;
RankingWise;kRandoms;10;2;5;36;{5=0, 6=20};0.12626506179505553;0.1143423769084799;1.1389691;
RankingWise;kBests;10;2;5;12;{2=194};0.17136466331544153;0.16568742441337855;4.5984066;
RankingWise;kFirsts;10;3;1;2373;{0=0};0.017605086848599235;0.010906539217005113;0.0556263;
RankingWise;kRandoms;10;3;1;1742;{5=1};0.00795676066206912;0.003689210311493383;0.0582688;
RankingWise;kBests;10;3;1;12;{2=194};0.17136466331544153;0.16154955231938112;4.3147677;
RankingWise;kFirsts;10;3;2;17;{0=1, 1=5};0.06705294223235553;0.05858727017154877;0.4784526;
RankingWise;kRandoms;10;3;2;117;{4=2, 7=2};0.07412437399415772;0.06651507823534125;0.3442148;
RankingWise;kBests;10;3;2;12;{2=194};0.17136466331544153;0.16154955231938112;4.9981504;
RankingWise;kFirsts;10;3;3;17;{0=1, 1=5};0.06705294223235553;0.05858727017154877;0.4509924;
RankingWise;kRandoms;10;3;3;12;{2=194};0.17136466331544153;0.16970596192744916;8.3877455;
RankingWise;kBests;10;3;3;12;{2=194};0.17136466331544153;0.16154955231938112;4.2463921;
RankingWise;kFirsts;10;3;4;17;{0=1, 1=5};0.06705294223235553;0.05858727017154877;0.478933;
RankingWise;kRandoms;10;3;4;18;{1=0, 6=18};0.13864199253333334;0.13562929039306526;0.5656284;
RankingWise;kBests;10;3;4;12;{2=194};0.17136466331544153;0.16154955231938112;4.3883089;
RankingWise;kFirsts;10;3;5;17;{0=1, 1=5};0.06705294223235553;0.05858727017154877;0.8981457;
RankingWise;kRandoms;10;3;5;13;{0=1, 3=32};0.18358165599906762;0.1593133724218029;3.3261876;
RankingWise;kBests;10;3;5;12;{2=194};0.17136466331544153;0.16154955231938112;4.3977151;
RankingWise;kFirsts;10;4;1;2373;{0=0};0.017605086848599235;0.010906539217005113;0.0556938;
RankingWise;kRandoms;10;4;1;21;{3=32};0.11711763063423425;0.1019035603678321;0.9889014;
RankingWise;kBests;10;4;1;12;{2=194};0.17136466331544153;0.15558621696450367;4.3155968;
RankingWise;kFirsts;10;4;2;17;{0=1, 1=5};0.06705294223235553;0.054905521030790376;0.5086782;
RankingWise;kRandoms;10;4;2;1641;{0=0, 8=0};0.019129971647887375;0.01689500928962766;0.2293664;
RankingWise;kBests;10;4;2;12;{2=194};0.17136466331544153;0.15558621696450367;5.3683704;
RankingWise;kFirsts;10;4;3;17;{0=1, 1=5};0.06705294223235553;0.054905521030790376;0.5718118;
RankingWise;kRandoms;10;4;3;110;{4=2, 9=0};0.08730194739372087;0.07832161730787546;0.9146187;
RankingWise;kBests;10;4;3;12;{2=194};0.17136466331544153;0.15558621696450367;4.3997123;
RankingWise;kFirsts;10;4;4;11;{0=1, 1=0, 3=14};0.14659234028182538;0.13196213151077152;0.9430602;
RankingWise;kRandoms;10;4;4;12;{1=2, 6=28};0.15450455325033796;0.15139597775924515;1.8446994;
RankingWise;kBests;10;4;4;12;{2=194};0.17136466331544153;0.16245724512667703;5.1676543;
RankingWise;kFirsts;10;4;5;11;{0=1, 1=0, 3=14};0.14659234028182538;0.13196213151077152;0.7735925;
RankingWise;kRandoms;10;4;5;10;{8=1, 0=0, 7=10};0.0856550131423802;0.0797936768570177;0.6805659;
RankingWise;kBests;10;4;5;12;{2=194};0.17136466331544153;0.16245724512667703;4.555101;
RankingWise;kFirsts;10;5;1;2373;{0=0};0.017605086848599235;0.010906539217005113;0.0612256;
RankingWise;kRandoms;10;5;1;24;{6=28};0.10963572829591026;0.09745373821531036;1.0556853;
RankingWise;kBests;10;5;1;12;{2=194};0.17136466331544153;0.15148084245959997;4.4779728;
RankingWise;kFirsts;10;5;2;17;{0=1, 1=5};0.06705294223235553;0.05051880149758855;0.4375422;
RankingWise;kRandoms;10;5;2;10;{0=0, 7=10};0.0856550131423802;0.07078590076535789;0.6862646;
RankingWise;kBests;10;5;2;12;{2=194};0.17136466331544153;0.15148084245959997;4.0868287;
RankingWise;kFirsts;10;5;3;17;{0=1, 1=5};0.06705294223235553;0.05051880149758855;0.5247627;
